SEGMENT_CODE,SEGMENT_NAME,ONE_AND_ALL_CCM_SEGMENT_DESCRIPTION,PACKAGE_VERSION,IS_SUPPRESSED
CWCA101,REGULAR DONORS,"0-6 Months, 1 Gift, $0.01-$9.99 ",1,Y
CWCA102,REGULAR DONORS,"0-6 Months, 2 Gifts, $0.01-$9.99 ",1,Y
CWCA103,REGULAR DONORS,"0-6 Months, 3+ Gifts, $0.01-$9.99 ",1,Y
CWCA104,REGULAR DONORS,"0-6 Months, 1 Gift, $10-$14.99 ",1,Y
CWCA105,REGULAR DONORS,"0-6 Months, 2 Gifts, $10-$14.99 ",1,N
CWCA106,REGULAR DONORS,"0-6 Months, 3+ Gifts, $10-$14.99 ",1,N
CWCA107,REGULAR DONORS,"0-6 Months, 1 Gift, $15-$24.99 ",1,N
CWCA108,REGULAR DONORS,"0-6 Months, 2 Gifts, $15-$24.99 ",1,N
CWCA109,REGULAR DONORS,"0-6 Months, 3+ Gifts, $15-$24.99 ",1,N
CWCA110,REGULAR DONORS,"0-6 Months, 1 Gift, $25-$49.99 ",1,N
CWCA111,REGULAR DONORS,"0-6 Months, 2 Gifts, $25-$49.99 ",1,N
CWCA112,REGULAR DONORS,"0-6 Months, 3+ Gifts, $25-$49.99 ",1,N
CWCA113,REGULAR DONORS,"0-6 Months, 1 Gift, $50-$99.99 ",1,N
CWCA114,REGULAR DONORS,"0-6 Months, 2 Gifts, $50-$99.99 ",1,N
CWCA115,REGULAR DONORS,"0-6 Months, 3+ Gifts, $50-$99.99 ",1,N
CWCA116,REGULAR DONORS,"7-12 Months, 1 Gift, $0.01-$9.99 ",1,Y
CWCA117,REGULAR DONORS,"7-12 Months, 2 Gifts, $0.01-$9.99 ",1,Y
CWCA118,REGULAR DONORS,"7-12 Months, 3+ Gifts, $0.01-$9.99 ",1,Y
CWCA119,REGULAR DONORS,"7-12 Months, 1 Gift, $10-$14.99 ",1,Y
CWCA120,REGULAR DONORS,"7-12 Months, 2 Gifts, $10-$14.99 ",1,N
CWCA121,REGULAR DONORS,"7-12 Months, 3+ Gifts, $10-$14.99 ",1,N
CWCA122,REGULAR DONORS,"7-12 Months, 1 Gift, $15-$24.99 ",1,N
CWCA123,REGULAR DONORS,"7-12 Months, 2 Gifts, $15-$24.99 ",1,N
CWCA124,REGULAR DONORS,"7-12 Months, 3+ Gifts, $15-$24.99 ",1,N
CWCA125,REGULAR DONORS,"7-12 Months, 1 Gift, $25-$49.99 ",1,N
CWCA126,REGULAR DONORS,"7-12 Months, 2 Gifts, $25-$49.99 ",1,N
CWCA127,REGULAR DONORS,"7-12 Months, 3+ Gifts, $25-$49.99 ",1,N
CWCA128,REGULAR DONORS,"7-12 Months, 1 Gift, $50-$99.99 ",1,N
CWCA129,REGULAR DONORS,"7-12 Months, 2 Gifts, $50-$99.99 ",1,N
CWCA130,REGULAR DONORS,"7-12 Months, 3+ Gifts, $50-$99.99 ",1,N
CWCA131,REGULAR DONORS,"13-18 Months, 1 Gift, $0.01-$9.99 ",1,Y
CWCA132,REGULAR DONORS,"13-18 Months, 2 Gifts, $0.01-$9.99 ",1,Y
