SUFFIX,PRIMARY STREET SUFFIX NAME
aly,alley
allee,alley
alle,alley
aley,alley
aut,autoroute
av,avenue
avenu,avenue
avenida,avenue
aven,avenue
avn,avenue
ave,avenue
bayoo,bayou
bayou,bayou
byu,bayou
bch,beach
bnd,bend
blf,bluffs
bluf,bluffs
bluff,bluffs
blvd,boulevard
boul,boulevard
boulv,boulevard
blv,boulevard
bld,boulevard
brk,brooks
brook,brooks
bg,burgs
bgs,burgs
burg,burgs
byp,bypass
bypa,bypass
bypas,bypass
byps,bypass
canyn,canyon
cnyn,canyon
cyn,canyon
cswy,causeway
causwa,causeway
car,crossroads
carre,crossroads
carrefour,crossroads
ctr,center
centre,center
c,center
cen,center
cent,center
centr,center
cntr,center
cnter,center
ctrs,center
ch,pathway
chemin,pathway
cir,circle
circulo,circle
circ,circle
crcl,circle
circuit,circle
clf,cliffs
clfs,cliffs
cliff,cliffs
clb,club
conc,concession
coness,concession
crnrs,corners
ct,court
crt,court
courts,court
crts,court
crk,creek
crek,creek
cv,coves
cvs,coves
cove,coves
cres,crescent
crest,crescent
crsent,crescent
crsnt,crescent
cr,crescent
crst,crescent
croissant,crossing
crois,crossing
cross,crossing
xrd,crossroads
xrds,crossroads
crossroad,crossroads
cds,culdesac
cul,culdesac
dm,dam
divers,diversion
dr,drive
drives,drive
driv,drive
drv,drive
ech,echangeur
espl,esplanade
expy,expressway
exten,extension
fwy,freeway
fls,falls
fall,falls
fld,fields
flds,fields
field,fields
forest,forests
frst,forests
frk,forks
frks,forks
fork,forks
gdns,garden
grdns,garden
grd,garden
gdn,garden
gardens,garden
grv,groves
grvs,groves
grov,groves
grove,groves
harbr,harbors
harb,harbors
harbour,harbors
harbours,harbors
harbor,harbors
ht,heights
height,heights
hts,heights
hghlds,highland
highld,highland
highlands,highland
hwy,highway
highwy,highway
hiway,highway
hiwy,highway
hway,highway
hl,hills
hls,hills
hill,hills
holw,hollows
hllw,hollows
holws,hollows
hollow,hollows
imp,impasse
inlt,inlet
isl,islands
isle,islands
isles,islands
islnd,islands
islnds,islands
iss,islands
island,islands
jct,junctions
jction,junctions
jctn,junctions
junction,junctions
junctn,junctions
juncton,junctions
jcts,junctions
jctns,junctions
ky,keys
kys,keys
key,keys
lndg,landing
lndng,landing
landng,landing
ln,lane
carril,lane
banda,lane
ldge,lodge
ldg,lodge
lodg,lodge
lmts,limits
lkout,lookout
medow,meadows
meadow,meadows
mdw,meadows
mdws,meadows
medows,meadows
mill,mills
ml,mills
mls,mills
mnt,mountain
mount,mountain
mtn,mountain
mt,mountain
orch,orchard
orchrd,orchard
prk,parkways
parc,parkways
prc,parkways
park,parkways
pk,parkways
prky,parkways
pky,parkways
pkwys,parkways
pkwy,parkways
parkwy,parkways
parkwys,parkways
parkway,parkways
parcelas,parkways
pass,passage
ptway,pathway
path,pathway
paths,pathway
trayectoria,pathway
sendero,pathway
recorrido,pathway
paso,pathway
pla,place
plateau,place
plat,place
pln,plains
plns,plains
plain,plains
plza,plaza
plz,plaza
pt,points
point,points
pnt,points
pts,points
pnts,points
prt,ports
port,ports
prts,ports
prom,promenade
rge,range
rg,range
rd,roads
camino,roads
cam,roads
road,roads
rds,roads
carr,roads
carre,roads
carretera,roads
calle,roads
ruta,roads
calzada,roads
rdg,ridge
rdge,ridge
rdpt,rondpoint
rt,route
rte,route
rle,alley
rue,streets
ruelle,alley
shoar,shores
shoars,shores
shr,shores
shrs,shores
shore,shores
sent,pathway
sentier,pathway
sq,squares
sqr,squares
sqre,squares
sqs,squares
sqrs,squares
square,squares
st,streets
sts,streets
strt,streets
str,streets
calle,streets
cll,streets
street,streets
subdiv,subdivision
ter,terrace
terr,terrace
tsse,terrace
terrasse,terrace
thick,thicket
tline,townline
twp,township
trail,trails
trl,trails
trls,trails
tunel,tunnels
tunl,tunnels
tunls,tunnels
tunnl,tunnels
tunnel,tunnels
trnabt,turnabout
tpke,turnpike
pike,turnpike
valley,valleys
vally,valleys
vlly,valleys
vly,valleys
vlys,valleys
vil,villages
village,villages
villge,villages
villas,villages
ville,villages
vl,villages
vlgs,villages
wy,ways
wys,ways
way,ways
alt,altura
alturas,altura
alts,altura
bda,barriada
bo,barrio
